Epoch, Train Recon Loss, Test Recon Loss, R Loss train, R Loss test, Rendering Loss train, Rendering Loss test, Train Time, Test Time
343,0.001884,0.080358,0.003307,0.394832,0.002335,0.034128,33.53,28.37
344,0.001902,0.080639,0.002893,0.395848,0.002225,0.033475,33.52,28.44
345,0.001885,0.077902,0.002043,0.373366,0.002169,0.030274,33.36,28.41
346,0.001895,0.075415,0.003070,0.356299,0.002466,0.027271,33.53,28.34
347,0.002629,0.070530,0.005980,0.322996,0.003279,0.026446,33.46,28.34
348,0.002444,0.073060,0.001652,0.333150,0.002608,0.028495,33.45,28.55
349,0.002177,0.074356,0.003159,0.335403,0.002921,0.030709,33.45,28.69
350,0.002101,0.075193,0.003401,0.344611,0.002778,0.032535,33.47,28.40
351,0.002172,0.074602,0.005435,0.347170,0.002739,0.032901,33.45,28.44
352,0.002127,0.076607,0.003510,0.357193,0.002472,0.034425,35.44,28.69
353,0.002064,0.078021,0.004208,0.383604,0.002384,0.035470,33.63,28.45
354,0.001991,0.078051,0.004274,0.376657,0.002417,0.035228,33.60,28.41
355,0.001986,0.078557,0.004207,0.380333,0.002385,0.035181,33.47,28.41
356,0.002019,0.079357,0.004767,0.384201,0.002424,0.034064,33.61,28.39
357,0.001994,0.080285,0.003633,0.384350,0.002291,0.036835,33.46,28.41
358,0.001944,0.077926,0.002913,0.383701,0.002297,0.033460,33.53,28.37
359,0.001964,0.079548,0.003704,0.399412,0.002327,0.036251,33.68,28.43
360,0.001927,0.079063,0.002986,0.368577,0.002247,0.035248,33.34,29.95
361,0.001867,0.077809,0.002659,0.351724,0.002261,0.034029,34.92,28.82
362,0.001850,0.077803,0.003149,0.362888,0.002332,0.033811,33.69,28.54
363,0.001974,0.078341,0.003950,0.368736,0.002329,0.034583,33.64,28.44
364,0.001988,0.077956,0.002751,0.368621,0.002257,0.035719,33.62,28.52
365,0.002037,0.075310,0.003251,0.351025,0.002335,0.030193,33.63,28.46
366,0.002041,0.082311,0.003084,0.373703,0.002422,0.033710,33.59,28.49
367,0.002243,0.074656,0.002541,0.313734,0.002599,0.028160,33.58,28.42
368,0.002140,0.072820,0.003060,0.302302,0.002600,0.028033,33.40,28.62
369,0.002010,0.073664,0.003684,0.316289,0.002656,0.028462,33.61,28.48
370,0.002136,0.075704,0.005121,0.340865,0.002583,0.030301,33.62,28.47
371,0.002012,0.074994,0.001738,0.353881,0.002266,0.029139,33.63,28.45
372,0.001969,0.075737,0.003544,0.358732,0.002526,0.029006,33.56,28.43
373,0.001925,0.076904,0.002674,0.369133,0.002348,0.030953,33.59,28.51
374,0.001977,0.076627,0.002363,0.357027,0.002318,0.031148,33.67,28.51
375,0.001900,0.078922,0.003003,0.377923,0.002385,0.031747,33.68,28.42
376,0.001969,0.079804,0.002698,0.389539,0.002326,0.033142,33.53,28.43
377,0.001859,0.079963,0.003229,0.393427,0.002364,0.034679,33.58,28.45
378,0.002013,0.081947,0.003550,0.393946,0.002393,0.034268,33.75,28.50
379,0.001943,0.080483,0.003303,0.385671,0.002271,0.033841,33.47,28.49
380,0.001977,0.080700,0.003236,0.391879,0.002381,0.034748,33.82,28.58
381,0.001876,0.082056,0.002661,0.394362,0.002403,0.034917,33.81,28.51
382,0.001995,0.083466,0.003773,0.392290,0.002533,0.038371,33.73,28.49
383,0.001986,0.079848,0.002401,0.376537,0.002508,0.035444,33.70,28.56
384,0.002004,0.080513,0.003871,0.388403,0.002572,0.036429,33.66,28.53
385,0.002017,0.081578,0.003315,0.401658,0.002452,0.035998,33.59,28.55
386,0.001937,0.082182,0.003939,0.400261,0.002561,0.035779,33.64,28.49
387,0.001964,0.084260,0.003317,0.402371,0.002526,0.036553,33.64,28.58
388,0.001943,0.083780,0.003292,0.405422,0.002455,0.036795,33.80,28.61
389,0.001927,0.082892,0.003219,0.396651,0.002338,0.036447,33.80,28.64
390,0.001906,0.081674,0.004100,0.387274,0.002348,0.034861,33.84,28.94
391,0.001947,0.084716,0.003885,0.412166,0.002361,0.036597,33.69,28.62
392,0.001999,0.083947,0.004035,0.402749,0.002412,0.033769,33.68,28.57
393,0.001908,0.085674,0.002996,0.398836,0.002329,0.035614,33.67,28.54
394,0.001918,0.084091,0.003283,0.400321,0.002311,0.035065,33.66,28.56
395,0.001963,0.081964,0.003952,0.392123,0.002360,0.035608,33.72,28.62
396,0.001963,0.081276,0.002919,0.384583,0.002339,0.033820,33.66,28.62
397,0.001981,0.080873,0.004574,0.382052,0.002585,0.034529,33.77,28.69
398,0.002021,0.082636,0.003821,0.383918,0.002351,0.035943,33.83,28.61
399,0.002045,0.084234,0.003554,0.397473,0.002366,0.035483,33.73,28.54
400,0.001876,0.084289,0.002917,0.395034,0.002295,0.034709,33.70,28.62
401,0.001926,0.086931,0.002656,0.395388,0.002325,0.037115,33.74,28.63
402,0.001928,0.083272,0.004099,0.388395,0.002419,0.035106,33.69,28.62
403,0.001878,0.084812,0.002653,0.385343,0.002373,0.035672,33.76,28.53
404,0.001906,0.082868,0.003220,0.389288,0.002290,0.034120,33.76,28.60
405,0.001917,0.082045,0.002983,0.373153,0.002374,0.033895,33.70,28.60
406,0.001880,0.080787,0.002578,0.384773,0.002185,0.034518,33.67,28.62
407,0.001883,0.083084,0.002651,0.394559,0.002220,0.035439,33.93,28.60
408,0.001907,0.080804,0.002575,0.386734,0.002183,0.034886,33.78,28.63
409,0.001868,0.081803,0.003773,0.389182,0.002400,0.034425,33.65,28.68
410,0.001894,0.081723,0.003143,0.385390,0.002277,0.034456,33.74,28.57
411,0.001879,0.082340,0.002669,0.389285,0.002332,0.035946,33.73,28.59
412,0.001936,0.081804,0.003619,0.382238,0.002367,0.036163,33.74,28.56
413,0.001884,0.081467,0.002970,0.386495,0.002305,0.035280,33.66,28.58
414,0.001906,0.079725,0.003850,0.368715,0.002474,0.034783,33.68,28.59
415,0.001939,0.079659,0.003293,0.375872,0.002313,0.035481,33.64,28.64
416,0.001924,0.082373,0.003528,0.386190,0.002345,0.036725,33.78,28.65
417,0.001926,0.082908,0.002576,0.396867,0.002333,0.035846,33.75,28.60
418,0.001837,0.083032,0.002344,0.392271,0.002435,0.037281,33.65,28.53
419,0.001821,0.082818,0.002333,0.397076,0.002366,0.036457,33.68,28.55
420,0.001889,0.081759,0.003223,0.389833,0.002385,0.036428,33.59,28.47
421,0.001825,0.081918,0.002342,0.388886,0.002303,0.036410,33.67,28.53
422,0.001889,0.082498,0.003215,0.385725,0.002413,0.036829,33.63,28.50
423,0.001950,0.081402,0.003860,0.396060,0.002444,0.035258,33.57,28.52
424,0.001951,0.081787,0.003772,0.405421,0.002431,0.035289,33.67,28.54
425,0.001841,0.081610,0.002959,0.403974,0.002322,0.034891,33.63,28.51
426,0.001877,0.082743,0.002033,0.388189,0.002248,0.035886,33.66,28.35
427,0.001838,0.083540,0.002273,0.407746,0.002239,0.036532,33.45,28.37
428,0.001894,0.082220,0.002911,0.395137,0.002488,0.036185,33.34,28.36
429,0.001908,0.083767,0.003845,0.405471,0.002369,0.037752,33.40,28.54
430,0.001902,0.084157,0.002344,0.393353,0.002304,0.035902,33.48,28.32
431,0.001855,0.083823,0.002274,0.410645,0.002345,0.036414,33.38,28.41
432,0.001930,0.083951,0.003314,0.429536,0.002466,0.036554,33.36,28.36
433,0.001975,0.088531,0.002965,0.477942,0.002398,0.041811,33.43,28.32
434,0.010185,0.047101,0.031853,0.164033,0.011151,0.027220,33.36,28.31
435,0.008951,0.050795,0.039371,0.186973,0.012662,0.027332,33.64,28.53
436,0.007840,0.050109,0.022185,0.155963,0.010268,0.026635,33.42,28.42
437,0.006196,0.047256,0.016775,0.142071,0.008804,0.026920,33.57,28.37
438,0.005967,0.048302,0.014191,0.135279,0.007744,0.025492,33.67,28.43
439,0.005917,0.046026,0.012158,0.141291,0.008190,0.026453,33.62,28.33
440,0.004895,0.045680,0.007403,0.136714,0.006777,0.025487,33.38,28.35
441,0.004308,0.045913,0.007496,0.141890,0.005678,0.025272,33.34,28.34
442,0.003838,0.046660,0.007737,0.130644,0.005228,0.024205,33.50,28.34
443,0.003631,0.046834,0.003483,0.133880,0.004357,0.024177,33.63,28.32
444,0.003245,0.046962,0.005061,0.138289,0.004086,0.024190,33.34,28.36
445,0.003097,0.046001,0.004467,0.129440,0.003861,0.023968,33.74,28.35
446,0.003263,0.046985,0.004936,0.151094,0.003884,0.026605,33.81,28.34
447,0.003205,0.047826,0.006243,0.150266,0.003929,0.026208,33.51,28.32
448,0.003149,0.046662,0.007895,0.153203,0.003929,0.026824,33.43,28.36
449,0.002960,0.047896,0.005659,0.150262,0.003641,0.026179,33.40,28.44
450,0.002936,0.048162,0.005539,0.147532,0.003672,0.025647,33.37,28.30
451,0.002755,0.047917,0.004364,0.156102,0.003323,0.025740,33.37,28.39
452,0.002788,0.047961,0.002669,0.148467,0.003158,0.024998,33.41,28.40
453,0.002781,0.047766,0.004978,0.149417,0.003402,0.024460,33.47,28.32
454,0.002584,0.048250,0.003843,0.147594,0.003144,0.025267,33.33,28.58
455,0.002639,0.048130,0.003885,0.153481,0.003220,0.025093,33.37,28.31
456,0.002542,0.047385,0.004054,0.149186,0.003139,0.025037,33.44,28.32
457,0.002435,0.047250,0.004097,0.152851,0.003125,0.024980,33.34,28.35
458,0.002491,0.047584,0.004744,0.149544,0.003031,0.024660,33.36,28.29
459,0.002434,0.046744,0.002912,0.146553,0.002908,0.025034,33.39,28.48
460,0.002375,0.047869,0.002560,0.156762,0.002850,0.025051,33.43,28.26
461,0.002506,0.047665,0.004351,0.153310,0.002948,0.024797,33.44,28.34
462,0.002381,0.046895,0.004017,0.150989,0.002957,0.025371,33.33,28.40
463,0.002419,0.047578,0.004033,0.154945,0.002791,0.024560,33.42,28.34
464,0.002467,0.047438,0.004078,0.153611,0.002896,0.024842,33.78,28.40
465,0.002308,0.046884,0.003985,0.148738,0.002857,0.024514,33.44,28.34
466,0.002308,0.046470,0.003514,0.161752,0.002761,0.024806,33.39,28.31
467,0.002241,0.047731,0.003692,0.159490,0.002724,0.024544,33.38,28.38
468,0.002288,0.047032,0.003158,0.158674,0.002567,0.024757,33.42,28.32
469,0.002250,0.047308,0.004919,0.154120,0.002811,0.024056,33.38,28.38
470,0.002245,0.047271,0.002990,0.151426,0.002544,0.024429,33.35,28.36
471,0.002209,0.047665,0.002201,0.154148,0.002466,0.024843,33.32,28.38
472,0.002175,0.046889,0.002516,0.149123,0.002639,0.023798,33.32,28.36
473,0.002213,0.047355,0.002899,0.158921,0.002593,0.024050,33.30,28.40
474,0.002246,0.048050,0.003476,0.153641,0.002662,0.024301,33.55,28.35
475,0.002254,0.046957,0.001903,0.150733,0.002558,0.024529,33.31,28.39
476,0.002226,0.046955,0.003863,0.154641,0.002697,0.024404,33.40,28.34
477,0.002240,0.047287,0.003305,0.158502,0.002625,0.024078,33.39,28.42
478,0.002187,0.047796,0.003350,0.158013,0.002544,0.023931,33.43,28.37
479,0.002206,0.047117,0.003601,0.153819,0.002502,0.024408,33.42,28.33
480,0.002152,0.047119,0.002460,0.153387,0.002491,0.024210,33.53,28.35
481,0.002124,0.047865,0.002727,0.153239,0.002461,0.023717,33.50,28.38
482,0.002217,0.048774,0.004853,0.165127,0.002696,0.024205,33.35,28.39
483,0.002349,0.048026,0.004040,0.160539,0.002670,0.025182,33.50,28.59
484,0.002293,0.047675,0.003467,0.165998,0.002594,0.025278,33.45,28.31
485,0.002177,0.047840,0.003052,0.162190,0.002568,0.024782,33.45,28.37
486,0.002134,0.047782,0.003394,0.161764,0.002664,0.024589,33.43,28.31
487,0.002187,0.047871,0.003446,0.160046,0.002605,0.024876,33.38,28.39
488,0.002135,0.047661,0.002464,0.161207,0.002437,0.024637,33.36,28.31
489,0.002111,0.048169,0.003709,0.159277,0.002579,0.025358,33.41,28.34
490,0.002143,0.048277,0.003078,0.162533,0.002407,0.025248,33.38,28.36
491,0.002038,0.048105,0.002428,0.164439,0.002353,0.025097,33.47,28.32
492,0.002232,0.048559,0.003277,0.172308,0.002510,0.026268,33.40,28.39
493,0.002173,0.048729,0.003407,0.171589,0.002448,0.025974,33.82,28.38
494,0.002110,0.048526,0.003797,0.164349,0.002573,0.024692,33.39,28.37
495,0.002101,0.048893,0.002915,0.161650,0.002400,0.024752,33.48,28.42
496,0.002153,0.047886,0.003365,0.161489,0.002557,0.025246,33.65,28.34
497,0.002076,0.047538,0.003088,0.158194,0.002413,0.024601,33.45,28.39
498,0.002088,0.047992,0.003595,0.162255,0.002460,0.024640,33.39,28.32
499,0.002187,0.047962,0.004271,0.160979,0.002725,0.026977,33.45,28.38
500,0.002210,0.048270,0.003166,0.159078,0.002624,0.025164,33.38,28.39
501,0.002202,0.047893,0.002522,0.160305,0.002528,0.024889,33.38,28.36
502,0.002115,0.047641,0.003419,0.156528,0.002541,0.023907,33.40,28.52
503,0.002173,0.047714,0.004270,0.157984,0.002616,0.024004,33.38,28.37
504,0.002201,0.047083,0.002717,0.163075,0.002454,0.023982,33.44,28.36
505,0.002095,0.047663,0.003617,0.161827,0.002520,0.024317,33.41,28.35
506,0.002103,0.047929,0.002752,0.162144,0.002360,0.023728,33.34,28.31
507,0.002152,0.047795,0.003811,0.162143,0.002448,0.024017,33.45,28.25
508,0.002076,0.047899,0.002744,0.159222,0.002468,0.024400,33.42,28.36
509,0.002105,0.047813,0.002384,0.165565,0.002399,0.024256,33.38,28.29
510,0.002030,0.047279,0.002987,0.174810,0.002461,0.024423,33.51,28.33
511,0.002050,0.047714,0.002416,0.169518,0.002353,0.024474,33.38,28.34
512,0.002060,0.048314,0.003805,0.167260,0.002517,0.024821,33.77,28.37
513,0.002065,0.048528,0.002770,0.165253,0.002391,0.024807,33.39,28.67
514,0.002110,0.048979,0.003062,0.165545,0.002431,0.025101,33.43,28.29
515,0.002068,0.047738,0.002723,0.159506,0.002299,0.024747,33.48,28.35
516,0.002166,0.047685,0.004802,0.158181,0.002501,0.024338,33.58,28.33
517,0.002013,0.047806,0.003604,0.159502,0.002419,0.024261,33.42,28.31
518,0.002037,0.047536,0.003533,0.170549,0.002440,0.024209,33.56,28.35
519,0.002016,0.047598,0.003921,0.161959,0.002528,0.024523,33.41,28.30
520,0.002012,0.047663,0.002401,0.156310,0.002386,0.024336,33.48,28.27
521,0.002050,0.047194,0.002759,0.155204,0.002379,0.023698,33.39,28.62
522,0.002045,0.047563,0.002994,0.155573,0.002487,0.023821,33.52,28.38
523,0.002011,0.048105,0.003350,0.161975,0.002395,0.023771,33.42,28.39
524,0.002000,0.048059,0.003040,0.164965,0.002382,0.024309,33.58,28.50
525,0.002073,0.047930,0.002684,0.158735,0.002332,0.024407,33.50,28.44
526,0.001990,0.047978,0.002913,0.163452,0.002404,0.024240,33.52,28.46
527,0.002062,0.048451,0.003680,0.166897,0.002568,0.024706,33.61,28.45
528,0.002046,0.047783,0.002660,0.174837,0.002318,0.024324,33.47,28.36
529,0.001943,0.048620,0.002311,0.168838,0.002354,0.023850,33.35,28.28
530,0.001921,0.047731,0.002603,0.166128,0.002320,0.024114,33.41,28.38
531,0.002025,0.048238,0.003658,0.160333,0.002422,0.023964,33.60,28.31
532,0.002054,0.048599,0.003364,0.164613,0.002331,0.024203,33.56,28.33
533,0.002056,0.047903,0.001804,0.164809,0.002174,0.023839,33.37,28.32
534,0.001903,0.048290,0.003011,0.171893,0.002415,0.024582,34.25,29.15
535,0.001928,0.047724,0.002290,0.166153,0.002234,0.024265,33.40,28.34
536,0.002007,0.048108,0.003106,0.172312,0.002376,0.024757,33.39,28.36
537,0.001960,0.047774,0.002708,0.170806,0.002379,0.024846,33.48,28.35
538,0.002020,0.048622,0.003851,0.176477,0.002429,0.024823,33.31,28.40
539,0.002012,0.048480,0.002391,0.164113,0.002201,0.024224,33.45,28.32
540,0.001956,0.048267,0.002727,0.170168,0.002342,0.024442,33.43,28.34
541,0.001956,0.047800,0.002415,0.165412,0.002274,0.023223,33.62,28.37
542,0.001883,0.048667,0.002848,0.169897,0.002384,0.024131,33.47,28.39
543,0.001963,0.048829,0.002697,0.169061,0.002289,0.023754,33.43,28.41
544,0.001946,0.047659,0.002054,0.164963,0.002265,0.023878,33.36,28.34
545,0.001947,0.047952,0.002621,0.166779,0.002280,0.023332,33.38,28.34
546,0.001955,0.048276,0.003024,0.172085,0.002359,0.023224,33.41,28.41
547,0.001938,0.048140,0.002626,0.167602,0.002292,0.023824,33.42,28.39
548,0.001971,0.048118,0.002395,0.172910,0.002249,0.023712,33.33,28.39
549,0.001903,0.048124,0.001749,0.166921,0.002180,0.023905,33.47,28.34
550,0.001942,0.048536,0.003187,0.174080,0.002401,0.024164,33.46,28.60
551,0.001905,0.048422,0.002363,0.166489,0.002291,0.023860,33.38,28.40
552,0.002027,0.048964,0.002699,0.175477,0.002254,0.023983,33.49,28.41
553,0.002025,0.048445,0.002348,0.180587,0.002273,0.023695,33.51,28.57
554,0.001937,0.048905,0.002637,0.179789,0.002304,0.024488,33.53,28.36
555,0.001921,0.048422,0.002888,0.180711,0.002449,0.024357,33.47,28.38
556,0.001911,0.049585,0.003519,0.182332,0.002333,0.025632,33.38,28.36
557,0.001996,0.050001,0.002617,0.180555,0.002248,0.024890,33.28,28.30
558,0.001936,0.049250,0.003248,0.178189,0.002313,0.024721,33.49,28.36
559,0.001968,0.049060,0.002070,0.171780,0.002234,0.023936,33.58,28.35
560,0.001924,0.049070,0.002083,0.178251,0.002214,0.024138,33.62,28.31
561,0.001896,0.050063,0.001751,0.174716,0.002209,0.023974,33.43,28.41
562,0.001954,0.049868,0.002663,0.189328,0.002288,0.024203,33.53,28.34
563,0.002135,0.049039,0.003683,0.182868,0.002640,0.023836,33.43,28.37
564,0.002064,0.048702,0.002972,0.169968,0.002404,0.023904,33.45,28.33
565,0.002268,0.048832,0.003313,0.149597,0.002627,0.024201,33.43,28.34
566,0.002516,0.048082,0.004700,0.153635,0.003018,0.024067,33.42,28.35
567,0.002365,0.048002,0.003502,0.156856,0.002854,0.024287,33.38,28.33
568,0.002455,0.048505,0.005923,0.172218,0.003049,0.025725,33.49,28.37
569,0.002689,0.048076,0.003953,0.178248,0.003107,0.027740,33.63,28.86
570,0.002547,0.049131,0.002919,0.173233,0.002877,0.026284,33.58,28.50
571,0.002219,0.047368,0.001607,0.174080,0.002723,0.026485,33.69,28.61
572,0.002161,0.049227,0.002813,0.182412,0.002792,0.026547,33.86,28.63
573,0.002149,0.047800,0.002312,0.189608,0.002483,0.026757,33.75,28.47
574,0.002069,0.047910,0.002143,0.181030,0.002505,0.027065,33.46,28.40
575,0.002172,0.048718,0.002999,0.180506,0.002398,0.026768,33.45,28.39
576,0.002097,0.048850,0.003039,0.193066,0.002536,0.027741,33.40,28.41
577,0.002071,0.048603,0.001789,0.191969,0.002305,0.028120,33.34,28.36
578,0.001983,0.049195,0.002594,0.186591,0.002385,0.027525,33.45,28.40
579,0.001982,0.049059,0.001799,0.184914,0.002332,0.027645,33.68,28.29
580,0.002041,0.048037,0.003372,0.184697,0.002441,0.027469,33.31,28.33
581,0.001993,0.049455,0.002091,0.185101,0.002330,0.027165,33.42,28.37
582,0.001993,0.047975,0.002327,0.183052,0.002278,0.027218,33.66,28.41
583,0.001934,0.048819,0.001795,0.186896,0.002284,0.027222,33.47,28.40
584,0.001946,0.049478,0.002246,0.189157,0.002333,0.026745,33.45,28.34
585,0.001974,0.048797,0.002414,0.186551,0.002340,0.027222,33.53,28.50
586,0.001938,0.048851,0.001765,0.193639,0.002278,0.027351,33.69,28.58
587,0.001980,0.049100,0.002383,0.183500,0.002305,0.027366,33.74,28.54
588,0.001991,0.047612,0.004788,0.187375,0.002541,0.026976,33.70,28.82
589,0.002039,0.049560,0.003146,0.197845,0.002305,0.027561,33.66,28.60
590,0.001921,0.047558,0.002701,0.181571,0.002364,0.027389,33.48,28.45
591,0.001905,0.047458,0.002598,0.184611,0.002246,0.027431,33.46,28.40
592,0.001903,0.048346,0.002699,0.193540,0.002308,0.027563,33.53,28.39
593,0.001937,0.048427,0.001656,0.191053,0.002208,0.027281,33.46,28.39
594,0.001929,0.048189,0.003207,0.199957,0.002411,0.027127,33.42,28.42
595,0.001950,0.048586,0.002383,0.196462,0.002325,0.026779,33.44,28.44
596,0.001971,0.048641,0.001758,0.199749,0.002244,0.027370,33.50,28.37
597,0.001939,0.048684,0.002406,0.199026,0.002294,0.027788,33.43,28.44
598,0.001921,0.049794,0.002048,0.202882,0.002165,0.027705,33.73,28.39
599,0.001908,0.048802,0.001891,0.201041,0.002166,0.026987,33.46,28.34
