Epoch, Train Recon Loss, Test Recon Loss, R Loss train, R Loss test, Rendering Loss train, Rendering Loss test, Train Time, Test Time
78,0.002187,0.065912,0.004937,0.338456,0.002745,0.021225,33.51,28.37
79,0.002272,0.067536,0.005472,0.334195,0.002696,0.022061,33.48,28.34
80,0.002308,0.069581,0.004594,0.345721,0.002624,0.021580,33.57,28.33
81,0.002224,0.069314,0.004619,0.351423,0.002678,0.022061,33.65,28.34
82,0.002368,0.068859,0.005604,0.326086,0.002712,0.021743,33.74,28.32
83,0.002274,0.067546,0.005497,0.325952,0.002713,0.021748,33.53,28.35
84,0.002282,0.068278,0.004728,0.332262,0.002588,0.022018,33.60,28.34
85,0.002297,0.069279,0.004314,0.347287,0.002614,0.021803,33.56,28.36
86,0.002384,0.068019,0.006760,0.336623,0.002711,0.022218,33.46,28.37
87,0.002308,0.067987,0.005164,0.335671,0.002757,0.021576,33.60,28.34
88,0.002528,0.075148,0.006234,0.376005,0.003028,0.023268,33.57,28.35
89,0.002432,0.068341,0.004172,0.344691,0.003068,0.020945,33.56,28.33
90,0.002418,0.068121,0.004693,0.337111,0.002893,0.020912,33.59,28.43
91,0.002354,0.068403,0.004969,0.343515,0.003069,0.021055,33.59,28.63
92,0.002421,0.067917,0.004656,0.347673,0.002778,0.021662,33.57,28.42
93,0.002344,0.070040,0.004049,0.355373,0.002896,0.021740,33.61,28.38
94,0.002340,0.067518,0.004728,0.352962,0.002796,0.022294,33.75,28.40
95,0.002274,0.068874,0.006385,0.339501,0.003146,0.022582,33.60,28.43
96,0.002405,0.070241,0.004658,0.359647,0.002866,0.022120,33.60,28.36
97,0.002289,0.070726,0.004343,0.363050,0.002794,0.023491,33.66,28.35
98,0.002534,0.075388,0.005089,0.387292,0.002843,0.025719,33.57,28.38
99,0.002443,0.072493,0.005720,0.347186,0.003094,0.023520,33.61,28.39
100,0.002536,0.071354,0.006760,0.348984,0.002833,0.022989,33.50,28.36
101,0.002350,0.069960,0.004907,0.350741,0.002978,0.022864,33.78,28.37
102,0.002376,0.069744,0.003727,0.346740,0.002789,0.022490,34.22,28.33
103,0.002312,0.071721,0.004645,0.364248,0.002847,0.024260,33.47,28.41
104,0.002323,0.070553,0.005886,0.349060,0.002939,0.023654,33.55,28.34
105,0.002400,0.070423,0.004997,0.344712,0.002793,0.024425,33.64,28.40
106,0.002263,0.069880,0.003642,0.342905,0.002689,0.023227,33.41,28.28
107,0.002326,0.071254,0.004314,0.359543,0.002772,0.022119,33.38,28.28
108,0.002220,0.070646,0.003980,0.356967,0.002644,0.022413,33.43,28.47
109,0.002214,0.071050,0.004372,0.355286,0.002636,0.022669,33.50,28.38
110,0.002177,0.071072,0.004842,0.343417,0.002669,0.023006,33.53,28.38
111,0.002181,0.071170,0.004313,0.353504,0.002591,0.022119,33.70,28.40
112,0.002211,0.071217,0.004875,0.358513,0.002591,0.022579,33.50,28.38
113,0.002224,0.070433,0.004260,0.349287,0.002570,0.023115,33.54,28.38
114,0.002222,0.071170,0.004943,0.373717,0.002620,0.023955,33.52,28.52
115,0.002422,0.074671,0.005259,0.384071,0.002681,0.026060,33.55,28.36
116,0.002113,0.070674,0.005293,0.348620,0.002910,0.022709,33.53,28.38
117,0.002227,0.071145,0.003642,0.333555,0.002487,0.023347,33.33,28.42
118,0.002129,0.071552,0.004764,0.362631,0.002833,0.023698,33.43,28.37
119,0.002282,0.071665,0.003100,0.364952,0.002444,0.025028,33.54,28.40
120,0.002185,0.071096,0.003722,0.370329,0.002540,0.025060,33.45,28.62
121,0.002168,0.071684,0.004263,0.375802,0.002664,0.024164,33.55,28.42
122,0.002167,0.070638,0.004024,0.361865,0.002541,0.023999,33.44,28.39
123,0.002229,0.070806,0.005776,0.366069,0.002833,0.023535,33.69,28.39
124,0.002217,0.072055,0.004936,0.372637,0.002636,0.023885,33.48,28.39
125,0.002217,0.072575,0.003025,0.363246,0.002598,0.023863,33.52,28.40
126,0.002124,0.070153,0.003719,0.351775,0.002651,0.023105,33.47,28.42
127,0.002186,0.072885,0.005212,0.378438,0.002793,0.023634,33.51,28.40
128,0.002366,0.073056,0.006044,0.369046,0.002749,0.024633,33.48,28.41
129,0.002152,0.073474,0.002753,0.384910,0.002512,0.024222,33.65,28.41
130,0.002135,0.073293,0.005204,0.373266,0.002716,0.023142,33.67,28.37
131,0.002117,0.074430,0.003689,0.388482,0.002556,0.024805,33.52,28.41
132,0.002249,0.072458,0.004733,0.372598,0.002628,0.023054,33.56,28.38
133,0.002165,0.072911,0.005437,0.379432,0.002631,0.023467,33.50,28.41
134,0.002100,0.075241,0.003056,0.386464,0.002499,0.023741,33.52,28.47
135,0.002196,0.073658,0.003452,0.379596,0.002591,0.023697,33.45,28.39
136,0.002103,0.074110,0.003929,0.389811,0.002513,0.024039,33.47,28.37
137,0.002164,0.072876,0.004792,0.386384,0.002584,0.023308,33.54,28.46
138,0.002248,0.073922,0.004385,0.379123,0.002514,0.023859,33.55,28.38
139,0.002184,0.073118,0.004018,0.369291,0.002566,0.023960,33.52,28.64
140,0.002168,0.067650,0.005308,0.330941,0.002656,0.021657,33.42,28.37
141,0.002178,0.069509,0.003297,0.342307,0.002412,0.023044,33.50,28.40
142,0.002162,0.069585,0.005430,0.344430,0.002717,0.022130,33.46,28.33
143,0.002203,0.071225,0.004222,0.346457,0.002412,0.022730,33.52,28.41
144,0.002151,0.070712,0.004891,0.358526,0.002639,0.023114,33.50,28.39
145,0.002080,0.071672,0.003590,0.343174,0.002503,0.023367,33.54,28.43
146,0.002158,0.071793,0.005435,0.351213,0.002709,0.023414,33.52,28.40
147,0.002124,0.072312,0.003882,0.348896,0.002572,0.023066,33.54,28.39
148,0.002225,0.072865,0.005754,0.351928,0.002695,0.022892,33.50,28.42
149,0.002194,0.075229,0.003096,0.379012,0.002433,0.025427,37.58,30.66
150,0.002140,0.073607,0.004230,0.368777,0.002493,0.023796,35.98,28.41
151,0.002296,0.073300,0.005993,0.365963,0.002638,0.024029,35.39,28.55
152,0.002122,0.073024,0.003686,0.366777,0.002472,0.024109,35.02,28.42
153,0.002144,0.070999,0.004899,0.353910,0.002598,0.023614,34.77,28.40
154,0.002068,0.073624,0.004535,0.360844,0.002472,0.025009,34.51,28.52
155,0.002149,0.072941,0.004583,0.371045,0.002441,0.026694,34.18,28.39
156,0.002036,0.074262,0.003598,0.363609,0.002443,0.026240,34.10,28.41
157,0.002097,0.075035,0.004492,0.374824,0.002550,0.027330,33.87,28.43
158,0.002089,0.073835,0.004480,0.370642,0.002525,0.025588,33.87,28.63
159,0.002086,0.073261,0.003574,0.366951,0.002370,0.025862,33.83,28.42
160,0.002125,0.073282,0.004303,0.362213,0.002518,0.026248,33.55,28.38
161,0.002152,0.073279,0.004314,0.374916,0.002380,0.026123,33.78,28.45
162,0.002130,0.074547,0.004728,0.368141,0.002499,0.026442,33.70,28.39
163,0.002080,0.076143,0.003349,0.382597,0.002422,0.026673,33.65,28.40
164,0.002043,0.078176,0.002713,0.392162,0.002360,0.027322,33.64,28.42
165,0.002053,0.077718,0.004481,0.389608,0.002594,0.029398,33.53,28.42
166,0.002128,0.076894,0.005266,0.391258,0.002652,0.027345,33.62,28.42
167,0.002158,0.076564,0.004602,0.403893,0.002556,0.027274,33.49,28.37
168,0.002301,0.077513,0.004855,0.404175,0.002655,0.027860,33.78,28.38
169,0.002210,0.077047,0.005145,0.398903,0.002589,0.026775,33.56,28.43
170,0.002162,0.073676,0.003162,0.374728,0.002724,0.026241,33.50,28.40
171,0.002217,0.077525,0.004372,0.405390,0.002715,0.026316,33.42,28.38
172,0.002198,0.073042,0.004272,0.377862,0.002627,0.025430,33.54,28.40
173,0.002289,0.074948,0.005469,0.382158,0.002687,0.027902,33.45,28.42
174,0.002283,0.076038,0.004003,0.386919,0.002528,0.027452,33.46,28.61
175,0.002088,0.073401,0.004025,0.374454,0.002628,0.027408,33.44,28.36
176,0.002132,0.071689,0.004738,0.368472,0.002706,0.028169,33.47,28.36
177,0.002158,0.072157,0.004984,0.369763,0.002568,0.029184,33.59,28.64
178,0.002079,0.071553,0.003362,0.367589,0.002435,0.028720,33.44,28.38
179,0.002033,0.072123,0.003061,0.377487,0.002478,0.028724,33.53,28.40
180,0.002047,0.072955,0.003027,0.379376,0.002367,0.029764,33.65,28.41
181,0.002007,0.072545,0.003263,0.368981,0.002432,0.029043,33.47,28.41
182,0.002123,0.073358,0.003601,0.367177,0.002386,0.030061,33.60,28.42
183,0.002214,0.075385,0.003567,0.395262,0.002666,0.028905,33.40,28.41
184,0.002379,0.071249,0.004616,0.389755,0.002813,0.027185,33.44,28.36
185,0.002281,0.071511,0.004078,0.384795,0.002751,0.026847,33.59,28.44
186,0.002229,0.073526,0.003341,0.388237,0.002567,0.028503,33.49,28.40
187,0.002105,0.074156,0.003630,0.385136,0.002598,0.029025,33.71,28.44
188,0.002111,0.071899,0.004238,0.381049,0.002645,0.028729,33.53,28.41
189,0.002169,0.073175,0.003713,0.378382,0.002578,0.028744,33.53,28.42
190,0.002059,0.074505,0.002958,0.381491,0.002557,0.028144,33.50,28.37
